PID,B,L,H,Bx,Ly,ReF,MCODE1,MCODE2,MCODE3
97,35.5950715,137.095887,-1.4,-286.154,-28.302,7,5337,71,93
98,35.5950867,137.0958843,-1.4,-281.48,-28.975,7,5337,71,93
99,35.5951002,137.0958817,-1.4,-277.323,-29.639,7,5337,71,93
100,35.5951056,137.0958814,-1.4,-275.645,-29.69,7,5337,71,93
101,35.5951793,137.0958802,-1.4,-252.915,-29.993,7,5337,71,93
102,35.5952525,137.0958784,-1.4,-230.362,-30.443,7,5337,71,93
103,35.5953257,137.0958767,-1.4,-207.811,-30.871,7,5337,71,93
104,35.5953989,137.095875,-1.4,-185.26,-31.296,7,5337,71,93
105,35.5954576,137.0958737,-1.4,-167.163,-31.62,7,5337,71,93
106,35.5954608,137.0958737,-1.4,-166.163,-31.64,7,5337,71,93
107,35.5954641,137.0958736,-1.4,-165.163,-31.66,7,5337,71,93
108,35.5954673,137.0958735,-1.4,-164.163,-31.68,7,5337,71,93
109,35.5954706,137.0958734,-1.4,-163.163,-31.7,7,5337,71,93
110,35.5954738,137.0958733,-1.4,-162.163,-31.72,7,5337,71,93
111,35.5954771,137.0958733,-1.4,-161.163,-31.74,7,5337,71,93
112,35.5954803,137.0958732,-1.4,-160.163,-31.76,7,5337,71,93
113,35.5954836,137.0958731,-1.4,-159.163,-31.78,7,5337,71,93
114,35.5954868,137.095873,-1.4,-158.163,-31.8,7,5337,71,93
115,35.5954884,137.095873,-1.4,-157.66,-31.81,7,5337,71,93
116,35.5954949,137.0958728,-1.4,-155.66,-31.85,7,5337,71,93
117,35.5954982,137.0958727,-1.4,-154.66,-31.87,7,5337,71,93
118,35.5955014,137.0958727,-1.4,-153.66,-31.89,7,5337,71,93
119,35.5955047,137.0958726,-1.4,-152.66,-31.91,7,5337,71,93
120,35.5955079,137.0958725,-1.4,-151.66,-31.93,7,5337,71,93
121,35.5955111,137.0958724,-1.4,-150.66,-31.95,7,5337,71,93
122,35.5955144,137.0958723,-1.4,-149.66,-31.97,7,5337,71,93
123,35.5955176,137.0958723,-1.4,-148.66,-31.99,7,5337,71,93
124,35.5955209,137.0958722,-1.4,-147.66,-32.01,7,5337,71,93
125,35.5955241,137.0958721,-1.4,-146.66,-32.03,7,5337,71,93
126,35.5955257,137.0958721,-1.4,-146.159,-32.04,7,5337,71,93
127,35.5955322,137.0958719,-1.4,-144.159,-32.076,7,5337,71,93
128,35.5955355,137.0958718,-1.4,-143.159,-32.094,7,5337,71,93
129,35.5955387,137.0958718,-1.4,-142.159,-32.112,7,5337,71,93
130,35.595542,137.0958717,-1.4,-141.159,-32.13,7,5337,71,93
131,35.5955452,137.0958716,-1.4,-140.159,-32.148,7,5337,71,93
132,35.5955485,137.0958716,-1.4,-139.159,-32.166,7,5337,71,93
133,35.5955517,137.0958715,-1.4,-138.159,-32.184,7,5337,71,93
134,35.5955549,137.0958713,-1.4,-137.18,-32.231,7,5337,71,93
135,35.5955549,137.0958713,-1.4,-137.161,-32.225,7,5337,71,93
136,35.5955604,137.0958695,-1.4,-135.472,-32.683,7,5337,71,93
137,35.5955657,137.0958662,-1.4,-133.852,-33.517,7,5337,71,93
138,35.5955691,137.0958602,-1.4,-132.792,-35.023,7,5337,71,93
139,35.5955697,137.0958537,-1.4,-132.609,-36.646,7,5337,71,93
140,35.5955694,137.0958466,-1.4,-132.707,-38.421,7,5337,71,93
